canonical,name,uei,recipient_id,code,amount_fy,ticker
ICF,"ICF INCORPORATED, L.L.C.",QHBLBNKKV4U3,f7268051-dfb6-e5cf-ab3d-11235ea4137f-C,072648579,407324132.94,ICFI
ODYSSEY CONSULTING,"ODYSSEY SYSTEMS CONSULTING GROUP, LTD.",GUXLUYETMM48,036ad08c-f0d9-227c-a4d8-5185dd387ab8-C,090739830,389805152.10,
ECS,"ECS FEDERAL, LLC",XYB4JU4PA6T4,ed304eb7-3464-d0e8-d3b2-66199b0e0fcb-C,806026852,386577396.56,
CFM,CFM INTERNATIONAL INC,Q6HPK83NVT26,aaa9ecdd-9fa1-85ab-d4e5-8d5f806ed19e-C,060928587,385380924.13,
AEROVIRONMENT,"AEROVIRONMENT, INC",MWKWXVSSC518,5c230f88-bf30-19f8-5853-79c1472f53a9-C,118081356,383872348.12,AVAV
WORLD WIDE TECHNOLOGY,WORLD WIDE TECHNOLOGY LLC,C8VFSNKTMQB6,d96a4bfd-2da7-00c1-948d-44005efba1a1-C,614948396,375367471.59,
BATTELLE,"BATTELLE SAVANNAH RIVER ALLIANCE, LLC",KNXDWU1G3E81,9a7b543a-2b81-001e-d309-3a0f027dff01-C,117519705,363398700.35,
RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,8303ed9b-9fb4-3e90-ca81-50bbcf400948-C,004868105,358275391.52,
FOUR,FOUR LLC,X1JJYEW4HAN9,c07a6919-cdf9-7d1f-a566-40a65f12479b-C,789007064,354096728.66,
CARAHSOFT TECHNOLOGY,CARAHSOFT TECHNOLOGY CORP,DT8KJHZXVJH5,4e74aeb5-dd21-20a7-63bd-e9f934d69583-C,088365767,351713501.31,
DELOITTE,DELOITTE & TOUCHE LLP,F9KSDU7L9VP6,921ab747-c89d-0aa2-e86e-5fa9b858e626-C,187107958,343295458.70,
GOODRICH,GOODRICH CORPORATION,JZNWHLVKADJ9,5bfb9ab2-f7c6-35fa-f7ee-bae0b11cd2b5-C,939743829,331499045.12,
FCA,FCA US LLC,GVAKTC49BNJ8,fca82c16-eea0-87aa-760c-e419b390d40b-C,830966904,329659174.97,
PENNSYLVANIA STATE UNIVERSITY,THE PENNSYLVANIA STATE UNIVERSITY,NPM2J7MSCF61,f12508df-b414-7a41-54a0-3351d8ed6cb0-C,003403953,327869837.36,
MATHEMATICA,MATHEMATICA INC.,T41EGEAK2L35,f2614075-5f79-8bb5-9d8f-f6057e8dc3c7-C,154308522,321576021.21,
LAUREL PARTNERSHIP,LAUREL TECHNOLOGIES PARTNERSHIP,JLREE96WGKM5,69f87500-7b7d-1324-a404-72573498e80a-C,193955036,320215627.06,
DATA LINK,DATA LINK SOLUTIONS LLC,PPVTFMDK1NN5,c98b136d-0e1d-f50a-801c-a39f5aca7224-C,018619986,319541800.72,
LIVANTA,LIVANTA LLC,E3B4DNLM5ZW9,f4cf766a-de61-8350-4740-afe34caa7dd0-C,172035300,314839254.00,
BCG,BCG FEDERAL CORP.,EFNQK7LCF373,e0fc1ba7-7f61-1986-d36b-ac0ccc27e77a-C,078814635,310936761.66,
OHIO KEPRO,"OHIO KEPRO, LLC",JR5NJFML3KX3,fa6b0123-b6be-8a67-ab87-254f2ba72f23-C,132055026,298576424.00,
ALSALAM AEROSPACE INDUSTRIES,ALSALAM AEROSPACE INDUSTRIES COMPANY,XXK5EKS9W2J4,9e6e9dd3-7558-12f8-b857-4ed9601d2276-C,645021460,296982864.67,
AFFIGENT,"AFFIGENT, LLC",M46UYYHVH4B1,b8d01603-144c-7b0c-ecf0-24060cd72b94-C,141089040,294604080.20,
WESTAT,"WESTAT, INC.",NVUWAFWQ57S5,1a05eb77-da74-5790-7cc1-11f261fd252e-C,049508120,293845976.03,
ALLIANT TECHSYSTEMS OPERATIONS,ALLIANT TECHSYSTEMS OPERATIONS LLC,HBCXZGZJ83M4,e9c32d8f-2650-128f-4ba1-a806aadfdffc-C,122809887,288382900.99,
SONOVA,SONOVA USA INC,N5VSMWF4G7K7,fb00211d-fb2b-a453-6408-0afb71cb2867-C,075908876,280298784.61,
APPLIED RESEARCH ASSOCIATES,"APPLIED RESEARCH ASSOCIATES, INC.",LTMGBJ76B9D8,e4f166e8-db1c-b7aa-1fa5-f9bd4d7879f5-C,097967608,277626516.65,
PARKER-HANNIFIN,PARKER-HANNIFIN CORPORATION,D8HJPMFFSGS3,137b38c4-bf6f-f07e-ff51-388f7c2748b9-C,110345936,275719357.98,
KRATOS,"KRATOS UNMANNED AERIAL SYSTEMS, INC",GURMFDFLENX4,50f9dcb6-f3c8-f75d-1ab2-1b380b024d65-C,147543086,271731301.68,KTOS
ADVANCED COMPUTER CONCEPTS,"ADVANCED COMPUTER CONCEPTS, INC.",CGE8ABMZLZN9,72ca0d6d-bfb3-664d-fa88-47cacc8687d3-C,116193400,268820357.78,
CANADIAN COMMERCIAL,CANADIAN COMMERCIAL CORPORATION,FA38CTVQM319,feff6bf5-0c8a-4590-0796-eec837a63efa-C,207884594,267903751.39,
EMERGENT,"EMERGENT, LLC",NUNVJJM2UYY1,d20dbc28-ffde-003c-e506-9e3a16d343b6-C,781797712,265964554.05,
IT CONCEPTS,"IT CONCEPTS, INC.",GJ5YALPQMCH1,06a58e22-1667-d970-e0c2-078eacc221ed-C,968872213,263548209.84,
MAXIMUS,"MAXIMUS FEDERAL SERVICES, INC.",TREKW6J3QSF5,f87b435f-0b05-95c9-7c0e-e60df7cdff50-C,364221593,263095759.72,MMS
